UniqueID  ,PBD ID,PDB_ID,Ligand_Resname
BRD4-BD1_1,pdb_00007rui,7RUI,
BRD4-BD1_2,pdb_00008b96,8B96,
BRD4-BD1_3, pdb_00008b98,8B98,
BRD4-BD1_4, pdb_00007ehw,7EHW,
BRD4-BD1_5, pdb_00007ehy,7EHY,
BRD4-BD1_6, pdb_00007eig,7EIG,
BRD4-BD1_7,pdb_00007rek,7REK,
BRD4-BD1_8,pdb_00005n15,5N15,
BRD4-BD1_9, pdb_00007rel,7REL,
BRD4-BD1_10, pdb_00007rem,7REM,
BRD4-BD1_11, pdb_00006ji4,6JI4,
BRD4-BD1_12, pdb_00007mr8,7MR8,
BRD4-BD1_13, pdb_00007jkx,7JKX,
BRD4-BD1_14, pdb_00006lim,6LIM,
BRD4-BD1_15,pdb_00008ead,8EAD,
BRD4-BD1_16, pdb_00006ji5,6JI5,
BRD4-BD1_17, pdb_00008ymg,8YMG,
BRD4-BD1_18,pdb_00005you,5YOU,
BRD4-BD1_19,pdb_00006lih,6LIH,
BRD4-BD1_20,pdb_00008yme,8YME,
BRD4-BD1_21, pdb_00008ymf,8YMF,
BRD4-BD1_22,pdb_00008ymh,8YMH,
BRD4-BD1_23, pdb_00006ji3,6JI3,
BRD4-BD1_24, pdb_00008ymi,8YMI,
BRD4-BD1_25,pdb_00008piq,8PIQ,
BRD4-BD1_26, pdb_00007x6t,7X6T,
BRD4-BD1_27, pdb_00007mrd *,,
BRD4-BD1_28, pdb_00007lem*,,
BRD4-BD1_29,pdb_00006u0d,6U0D,
BRD4-BD1_30,pdb_00004wiv,4WIV,
BRD4-BD1_31,pdb_00007c2z*,,
BRD4-BD1_32,pdb_00007jky,7JKY,
BRD4-BD1_33, pdb_00007eil,7EIL,
BRD4-BD1_34, pdb_00008zm8,8ZM8,
BRD4-BD1_35,pdb_00007jkw,7JKW,
BRD4-BD1_36, pdb_00006czv,6CZV,
BRD4-BD1_37, pdb_00008gpz,8GPZ,
BRD4-BD1_38, pdb_00008zmb,8ZMB,
BRD4-BD1_39, pdb_00006fo5,6FO5,
BRD4-BD1_40, pdb_00006fnx,6FNX,
BRD4-BD1_41, pdb_00008gq0,8GQ0,
BRD4-BD1_42, pdb_00007mr7,7MR7,
BRD4-BD1_43,pdb_00007la9,7LA9,
BRD4-BD1_44,pdb_00007mr5,7MR5,
BRD4-BD1_45,pdb_00007l9m,7L9M,
BRD4-BD1_46, pdb_00007mr6,7MR6,
BRD4-BD1_47, pdb_00006q3z,6Q3Z,
BRD4-BD1_48, pdb_00007k6g,7K6G,
